"Run 1: Time (s)","Run 1: Force (N)","Run 2: Time (s)","Run 2: Force (N)","Run 3: Time (s)","Run 3: Force (N)","Run 4: Time (s)","Run 4: Force (N)","Run 5: Time (s)","Run 5: Force (N)"
0,0.992246927661,0,1.57933412359,0,1.83395598541,0,2.02148170945,0,2.10492256416
0.001,0.985795342453,0.001,1.59223729401,0.001,1.83395598541,0.001,2.03438487986,0.001,2.09847097895
0.002,0.992246927661,0.002,1.5857857088,0.002,1.84685915583,0.002,2.02793329466,0.002,2.09847097895
0.003,0.992246927661,0.003,1.57288253838,0.003,1.84685915583,0.003,2.02793329466,0.003,2.09201939375
0.004,0.985795342453,0.004,1.57288253838,0.004,1.84685915583,0.004,2.02793329466,0.004,2.09201939375
0.005,0.992246927661,0.005,1.56643095317,0.005,1.85976232624,0.005,2.02793329466,0.005,2.09201939375
0.006,0.99869851287,0.006,1.56643095317,0.006,1.85976232624,0.006,2.02148170945,0.006,2.09201939375
0.007,0.985795342453,0.007,1.57933412359,0.007,1.86621391145,0.007,2.02148170945,0.007,2.09847097895
0.008,0.992246927661,0.008,1.57288253838,0.008,1.86621391145,0.008,2.02148170945,0.008,2.08556780854
0.009,0.99869851287,0.009,1.57933412359,0.009,1.85976232624,0.009,2.02148170945,0.009,2.09201939375
0.01,0.99869851287,0.01,1.57933412359,0.01,1.86621391145,0.01,2.01503012424,0.01,2.08556780854
0.011,0.99869851287,0.011,1.5857857088,0.011,1.85976232624,0.011,2.02148170945,0.011,2.07911622333
0.012,0.992246927661,0.012,1.5857857088,0.012,1.87266549666,0.012,2.02793329466,0.012,2.09201939375
0.013,0.99869851287,0.013,1.59223729401,0.013,1.88556866708,0.013,2.01503012424,0.013,2.09201939375
0.014,1.00515009808,0.014,1.57933412359,0.014,1.87266549666,0.014,2.01503012424,0.014,2.09847097895
0.015,1.00515009808,0.015,1.5857857088,0.015,1.87911708187,0.015,2.02148170945,0.015,2.09201939375
0.016,0.99869851287,0.016,1.5857857088,0.016,1.89202025229,0.016,2.02148170945,0.016,2.09847097895
0.017,0.992246927661,0.017,1.57933412359,0.017,1.88556866708,0.017,2.02148170945,0.017,2.09847097895
0.018,0.985795342453,0.018,1.5857857088,0.018,1.89202025229,0.018,2.02793329466,0.018,2.10492256416
0.019,0.985795342453,0.019,1.5857857088,0.019,1.89202025229,0.019,2.02793329466,0.019,2.09201939375
0.02,0.992246927661,0.02,1.57933412359,0.02,1.88556866708,0.02,2.02793329466,0.02,2.09847097895
0.021,0.992246927661,0.021,1.5857857088,0.021,1.89202025229,0.021,2.03438487986,0.021,2.09847097895
0.022,0.99869851287,0.022,1.57933412359,0.022,1.89847183749,0.022,2.03438487986,0.022,2.09847097895
0.023,0.985795342453,0.023,1.5857857088,0.023,1.89847183749,0.023,2.03438487986,0.023,2.09201939375
0.024,0.985795342453,0.024,1.5857857088,0.024,1.9049234227,0.024,2.03438487986,0.024,2.09201939375
0.025,0.985795342453,0.025,1.5857857088,0.025,1.91137500791,0.025,2.02793329466,0.025,2.09847097895
0.026,0.985795342453,0.026,1.57933412359,0.026,1.91782659312,0.026,2.02793329466,0.026,2.09847097895
0.027,0.979343757244,0.027,1.59223729401,0.027,1.93072976354,0.027,2.02148170945,0.027,2.09847097895
0.028,0.985795342453,0.028,1.59223729401,0.028,1.93072976354,0.028,2.02148170945,0.028,2.09201939375
0.029,0.985795342453,0.029,1.59223729401,0.029,1.92427817833,0.029,2.02148170945,0.029,2.09201939375
0.03,0.979343757244,0.03,1.59223729401,0.03,1.93072976354,0.03,2.02148170945,0.03,2.09847097895
0.031,0.985795342453,0.031,1.5857857088,0.031,1.93718134874,0.031,2.02148170945,0.031,2.09847097895
0.032,0.985795342453,0.032,1.59223729401,0.032,1.93072976354,0.032,2.02148170945,0.032,2.09201939375
0.033,0.985795342453,0.033,1.59868887922,0.033,1.94363293395,0.033,2.02793329466,0.033,2.08556780854
0.034,0.985795342453,0.034,1.5857857088,0.034,1.95653610437,0.034,2.02793329466,0.034,2.09201939375
0.035,0.979343757244,0.035,1.5857857088,0.035,1.96298768958,0.035,2.03438487986,0.035,2.09201939375
0.036,0.985795342453,0.036,1.5857857088,0.036,1.97589085999,0.036,2.03438487986,0.036,2.09847097895
0.037,0.985795342453,0.037,1.59223729401,0.037,1.9823424452,0.037,2.02793329466,0.037,2.10492256416
0.038,0.992246927661,0.038,1.59223729401,0.038,1.99524561562,0.038,2.03438487986,0.038,2.09847097895
0.039,0.992246927661,0.039,1.59223729401,0.039,2.00814878604,0.039,2.02793329466,0.039,2.09201939375
0.04,0.99869851287,0.04,1.5857857088,0.04,2.01460037124,0.04,2.02793329466,0.04,2.09201939375
0.041,0.992246927661,0.041,1.59223729401,0.041,2.03395512687,0.041,2.02793329466,0.041,2.08556780854
0.042,0.992246927661,0.042,1.59223729401,0.042,2.04685829729,0.042,2.02148170945,0.042,2.08556780854
0.043,0.985795342453,0.043,1.59223729401,0.043,2.0533098825,0.043,2.02793329466,0.043,2.09201939375
0.044,0.985795342453,0.044,1.5857857088,0.044,2.07266463812,0.044,2.02793329466,0.044,2.09201939375
0.045,0.985795342453,0.045,1.57933412359,0.045,2.09201939375,0.045,2.02793329466,0.045,2.09201939375
0.046,0.979343757244,0.046,1.5857857088,0.046,2.10492256416,0.046,2.03438487986,0.046,2.09201939375
0.047,0.985795342453,0.047,1.5857857088,0.047,2.11137414937,0.047,2.02793329466,0.047,2.09201939375
0.048,0.992246927661,0.048,1.5857857088,0.048,2.12427731979,0.048,2.02148170945,0.048,2.09201939375
0.049,0.985795342453,0.049,1.5857857088,0.049,2.1371804902,0.049,2.03438487986,0.049,2.09201939375
0.05,0.985795342453,0.05,1.59223729401,0.05,2.15653524583,0.05,2.02793329466,0.05,2.09847097895
0.051,0.972892172036,0.051,1.5857857088,0.051,2.18234158666,0.051,2.02148170945,0.051,2.09201939375
0.052,0.979343757244,0.052,1.5857857088,0.052,2.18879317187,0.052,2.02793329466,0.052,2.08556780854
0.053,0.985795342453,0.053,1.5857857088,0.053,2.2081479275,0.053,2.02148170945,0.053,2.08556780854
0.054,0.99869851287,0.054,1.5857857088,0.054,2.21459951271,0.054,2.02148170945,0.054,2.09201939375
0.055,0.992246927661,0.055,1.5857857088,0.055,2.24040585354,0.055,2.02148170945,0.055,2.09201939375
0.056,0.992246927661,0.056,1.5857857088,0.056,2.25330902396,0.056,2.02793329466,0.056,2.08556780854
0.057,0.992246927661,0.057,1.5857857088,0.057,2.25976060916,0.057,2.02793329466,0.057,2.09847097895
0.058,0.992246927661,0.058,1.5857857088,0.058,2.27266377958,0.058,2.02793329466,0.058,2.09201939375
0.059,0.985795342453,0.059,1.5857857088,0.059,2.28556695,0.059,2.02793329466,0.059,2.09847097895
0.06,0.979343757244,0.06,1.57933412359,0.06,2.29201853521,0.06,2.02148170945,0.06,2.09847097895
0.061,0.979343757244,0.061,1.5857857088,0.061,2.31137329083,0.061,2.02148170945,0.061,2.09201939375
0.062,0.985795342453,0.062,1.5857857088,0.062,2.32427646125,0.062,2.02148170945,0.062,2.09201939375
0.063,0.992246927661,0.063,1.5857857088,0.063,2.33072804646,0.063,2.02793329466,0.063,2.09201939375
0.064,0.992246927661,0.064,1.5857857088,0.064,2.33717963166,0.064,2.02793329466,0.064,2.09201939375
0.065,0.985795342453,0.065,1.5857857088,0.065,2.34363121687,0.065,2.02148170945,0.065,2.09847097895
0.066,0.985795342453,0.066,1.5857857088,0.066,2.35008280208,0.066,2.02148170945,0.066,2.09847097895
0.067,0.992246927661,0.067,1.59223729401,0.067,2.35653438729,0.067,2.02148170945,0.067,2.09201939375
0.068,0.992246927661,0.068,1.59223729401,0.068,2.35653438729,0.068,2.02793329466,0.068,2.09201939375
0.069,0.985795342453,0.069,1.59223729401,0.069,2.36943755771,0.069,2.02793329466,0.069,2.09201939375
0.07,0.992246927661,0.07,1.59223729401,0.07,2.38234072812,0.07,2.02793329466,0.07,2.08556780854
0.071,0.99869851287,0.071,1.5857857088,0.071,2.38879231333,0.071,2.02793329466,0.071,2.09201939375
0.072,0.992246927661,0.072,1.5857857088,0.072,2.39524389854,0.072,2.02793329466,0.072,2.09201939375
0.073,0.992246927661,0.073,1.5857857088,0.073,2.40814706896,0.073,2.02148170945,0.073,2.08556780854
0.074,0.979343757244,0.074,1.59223729401,0.074,2.40814706896,0.074,2.02793329466,0.074,2.08556780854
0.075,0.985795342453,0.075,1.59868887922,0.075,2.41459865417,0.075,2.02148170945,0.075,2.07911622333
0.076,0.985795342453,0.076,1.60514046442,0.076,2.42750182458,0.076,2.02148170945,0.076,2.09201939375
0.077,0.979343757244,0.077,1.59223729401,0.077,2.42750182458,0.077,2.02793329466,0.077,2.09847097895
0.078,0.979343757244,0.078,1.5857857088,0.078,2.440404995,0.078,2.02793329466,0.078,2.09201939375
0.079,0.985795342453,0.079,1.5857857088,0.079,2.440404995,0.079,2.02793329466,0.079,2.09201939375
0.08,0.985795342453,0.08,1.5857857088,0.08,2.45330816542,0.08,2.03438487986,0.08,2.09201939375
0.081,0.992246927661,0.081,1.5857857088,0.081,2.45975975062,0.081,2.02793329466,0.081,2.09201939375
0.082,0.99869851287,0.082,1.5857857088,0.082,2.47266292104,0.082,2.02148170945,0.082,2.09201939375
0.083,0.992246927661,0.083,1.57933412359,0.083,2.47911450625,0.083,2.02793329466,0.083,2.09201939375
0.084,0.992246927661,0.084,1.57933412359,0.084,2.48556609146,0.084,2.02148170945,0.084,2.09201939375
0.085,0.99869851287,0.085,1.57933412359,0.085,2.48556609146,0.085,2.02148170945,0.085,2.09201939375
0.086,0.992246927661,0.086,1.57288253838,0.086,2.50492084708,0.086,2.02793329466,0.086,2.09201939375
0.087,0.985795342453,0.087,1.5857857088,0.087,2.51137243229,0.087,2.02148170945,0.087,2.09201939375
0.088,0.992246927661,0.088,1.5857857088,0.088,2.5178240175,0.088,2.02148170945,0.088,2.09847097895
0.089,0.985795342453,0.089,1.5857857088,0.089,2.52427560271,0.089,2.02793329466,0.089,2.09847097895
0.09,0.992246927661,0.09,1.5857857088,0.09,2.53072718792,0.09,2.02793329466,0.09,2.09847097895
0.091,0.985795342453,0.091,1.59223729401,0.091,2.53717877312,0.091,2.02148170945,0.091,2.09847097895
0.092,0.979343757244,0.092,1.59223729401,0.092,2.53717877312,0.092,2.01503012424,0.092,2.10492256416
0.093,0.985795342453,0.093,1.5857857088,0.093,2.55008194354,0.093,2.01503012424,0.093,2.09847097895
