"Run 5: Time (s)","Run 5: Force (N)","Run 6: Time (s)","Run 6: Force (N)","Run 7: Time (s)","Run 7: Force (N)","Run 8: Time (s)","Run 8: Force (N)","Run 9: Time (s)","Run 9: Force (N)","Run 10: Time (s)","Run 10: Force (N)"
0,1.63955421347,0,1.80299260865,0,2.04299052034,0,2.26062540545,0,2.37890270417,0,2.59911610725
0.001,1.64600579868,0.001,1.82879894948,0.001,2.03008734993,0.001,2.26707699066,0.001,2.37890270417,0.001,2.59266452204
0.002,1.64600579868,0.002,1.82879894948,0.002,2.04299052034,0.002,2.27352857587,0.002,2.37245111896,0.002,2.59911610725
0.003,1.65245738389,0.003,1.82234736427,0.003,2.04944210555,0.003,2.26062540545,0.003,2.37890270417,0.003,2.59911610725
0.004,1.64600579868,0.004,1.82879894948,0.004,2.04299052034,0.004,2.26062540545,0.004,2.37890270417,0.004,2.60556769245
0.005,1.65245738389,0.005,1.81589577907,0.005,2.03653893513,0.005,2.26707699066,0.005,2.37245111896,0.005,2.59911610725
0.006,1.63955421347,0.006,1.80944419386,0.006,2.04944210555,0.006,2.26707699066,0.006,2.37245111896,0.006,2.59911610725
0.007,1.65245738389,0.007,1.82234736427,0.007,2.04299052034,0.007,2.25417382024,0.007,2.37245111896,0.007,2.59911610725
0.008,1.65245738389,0.008,1.81589577907,0.008,2.03653893513,0.008,2.25417382024,0.008,2.37890270417,0.008,2.59911610725
0.009,1.64600579868,0.009,1.81589577907,0.009,2.04299052034,0.009,2.26062540545,0.009,2.37245111896,0.009,2.59266452204
0.01,1.64600579868,0.01,1.81589577907,0.01,2.03653893513,0.01,2.25417382024,0.01,2.37890270417,0.01,2.60556769245
0.011,1.65245738389,0.011,1.80299260865,0.011,2.03653893513,0.011,2.26062540545,0.011,2.37245111896,0.011,2.59911610725
0.012,1.64600579868,0.012,1.82879894948,0.012,2.04299052034,0.012,2.25417382024,0.012,2.37245111896,0.012,2.59266452204
0.013,1.6589089691,0.013,1.82234736427,0.013,2.04299052034,0.013,2.26062540545,0.013,2.37890270417,0.013,2.59266452204
0.014,1.65245738389,0.014,1.81589577907,0.014,2.03653893513,0.014,2.26062540545,0.014,2.37245111896,0.014,2.59911610725
0.015,1.64600579868,0.015,1.81589577907,0.015,2.03653893513,0.015,2.26707699066,0.015,2.37890270417,0.015,2.59911610725
0.016,1.63955421347,0.016,1.82234736427,0.016,2.03653893513,0.016,2.26707699066,0.016,2.38535428938,0.016,2.59911610725
0.017,1.63955421347,0.017,1.80944419386,0.017,2.03008734993,0.017,2.26707699066,0.017,2.37890270417,0.017,2.59266452204
0.018,1.63955421347,0.018,1.80944419386,0.018,2.04299052034,0.018,2.26062540545,0.018,2.37890270417,0.018,2.59911610725
0.019,1.64600579868,0.019,1.82234736427,0.019,2.04944210555,0.019,2.25417382024,0.019,2.37890270417,0.019,2.59266452204
0.02,1.65245738389,0.02,1.81589577907,0.02,2.04299052034,0.02,2.27352857587,0.02,2.38535428938,0.02,2.59911610725
0.021,1.64600579868,0.021,1.80944419386,0.021,2.03653893513,0.021,2.26707699066,0.021,2.37890270417,0.021,2.59911610725
0.022,1.65245738389,0.022,1.80299260865,0.022,2.03653893513,0.022,2.26707699066,0.022,2.37890270417,0.022,2.60556769245
0.023,1.6589089691,0.023,1.81589577907,0.023,2.03008734993,0.023,2.26707699066,0.023,2.37890270417,0.023,2.61201927766
0.024,1.65245738389,0.024,1.80944419386,0.024,2.03653893513,0.024,2.26062540545,0.024,2.37245111896,0.024,2.60556769245
0.025,1.65245738389,0.025,1.80944419386,0.025,2.03653893513,0.025,2.26062540545,0.025,2.37890270417,0.025,2.59911610725
0.026,1.64600579868,0.026,1.80944419386,0.026,2.04299052034,0.026,2.24772223503,0.026,2.38535428938,0.026,2.60556769245
0.027,1.63955421347,0.027,1.80944419386,0.027,2.04299052034,0.027,2.25417382024,0.027,2.38535428938,0.027,2.60556769245
0.028,1.64600579868,0.028,1.80299260865,0.028,2.04299052034,0.028,2.26062540545,0.028,2.39180587459,0.028,2.59911610725
0.029,1.64600579868,0.029,1.81589577907,0.029,2.04299052034,0.029,2.26062540545,0.029,2.37890270417,0.029,2.60556769245
0.03,1.63955421347,0.03,1.81589577907,0.03,2.04944210555,0.03,2.25417382024,0.03,2.37890270417,0.03,2.60556769245
0.031,1.65245738389,0.031,1.80944419386,0.031,2.04299052034,0.031,2.26707699066,0.031,2.37245111896,0.031,2.59911610725
0.032,1.64600579868,0.032,1.80944419386,0.032,2.04299052034,0.032,2.26707699066,0.032,2.36599953376,0.032,2.60556769245
0.033,1.65245738389,0.033,1.80944419386,0.033,2.03653893513,0.033,2.26707699066,0.033,2.37245111896,0.033,2.60556769245
0.034,1.64600579868,0.034,1.80299260865,0.034,2.04299052034,0.034,2.27352857587,0.034,2.37890270417,0.034,2.60556769245
0.035,1.64600579868,0.035,1.80944419386,0.035,2.03653893513,0.035,2.26707699066,0.035,2.37890270417,0.035,2.59911610725
0.036,1.64600579868,0.036,1.81589577907,0.036,2.05589369076,0.036,2.26062540545,0.036,2.37890270417,0.036,2.59266452204
0.037,1.64600579868,0.037,1.80944419386,0.037,2.05589369076,0.037,2.26062540545,0.037,2.37245111896,0.037,2.59266452204
0.038,1.64600579868,0.038,1.79654102344,0.038,2.04944210555,0.038,2.26707699066,0.038,2.37245111896,0.038,2.59911610725
0.039,1.64600579868,0.039,1.80944419386,0.039,2.04944210555,0.039,2.26062540545,0.039,2.37890270417,0.039,2.59911610725
0.04,1.6589089691,0.04,1.81589577907,0.04,2.04944210555,0.04,2.25417382024,0.04,2.37245111896,0.04,2.59911610725
0.041,1.65245738389,0.041,1.80944419386,0.041,2.03653893513,0.041,2.24772223503,0.041,2.37890270417,0.041,2.58621293683
0.042,1.65245738389,0.042,1.80944419386,0.042,2.04944210555,0.042,2.25417382024,0.042,2.38535428938,0.042,2.59266452204
0.043,1.63955421347,0.043,1.80299260865,0.043,2.04299052034,0.043,2.25417382024,0.043,2.37890270417,0.043,2.59911610725
